date,hour,type,1010A
20220120,21,PM2.5,55
20220120,22,PM2.5,56
20220120,23,PM2.5,56
20220121,0,PM2.5,57
20220121,1,PM2.5,58
20220121,2,PM2.5,62
20220121,3,PM2.5,64
20220121,4,PM2.5,65
20220121,5,PM2.5,63
20220121,6,PM2.5,61
20220121,7,PM2.5,58
20220121,8,PM2.5,57
20220121,9,PM2.5,55
20220121,10,PM2.5,54
20220121,11,PM2.5,58
20220121,12,PM2.5,60
20220121,13,PM2.5,62
20220121,14,PM2.5,62
20220121,15,PM2.5,62
20220121,16,PM2.5,66
20220121,17,PM2.5,68
20220121,18,PM2.5,71
20220121,19,PM2.5,72
20220121,20,PM2.5,72
20220121,21,PM2.5,75
20220121,22,PM2.5,77
20220121,23,PM2.5,80
20220122,0,PM2.5,81
20220122,1,PM2.5,83
20220122,2,PM2.5,85
20220122,3,PM2.5,84
20220122,4,PM2.5,84
20220122,5,PM2.5,85
20220122,6,PM2.5,86
20220122,7,PM2.5,86
20220122,8,PM2.5,89
20220122,9,PM2.5,90
20220122,10,PM2.5,94
20220122,11,PM2.5,99
20220122,12,PM2.5,105
20220122,13,PM2.5,109
20220122,14,PM2.5,111
20220122,15,PM2.5,109
20220122,16,PM2.5,105
20220122,17,PM2.5,103
20220122,18,PM2.5,107
20220122,19,PM2.5,107
20220122,20,PM2.5,109
20220122,21,PM2.5,111
20220122,22,PM2.5,100
20220122,23,PM2.5,99
20220123,0,PM2.5,101
20220123,1,PM2.5,98
20220123,2,PM2.5,99
20220123,3,PM2.5,99
20220123,4,PM2.5,98
20220123,5,PM2.5,96
20220123,6,PM2.5,96
20220123,7,PM2.5,97
20220123,8,PM2.5,97
20220123,9,PM2.5,99
20220123,10,PM2.5,106
20220123,11,PM2.5,109
20220123,12,PM2.5,111
20220123,13,PM2.5,106
20220123,14,PM2.5,103
20220123,15,PM2.5,101
20220123,16,PM2.5,95
20220123,17,PM2.5,104
20220123,18,PM2.5,123
20220123,19,PM2.5,144
20220123,20,PM2.5,157
20220123,21,PM2.5,155
20220123,22,PM2.5,153
20220123,23,PM2.5,157
20220124,0,PM2.5,160
20220124,1,PM2.5,157
20220124,2,PM2.5,156
20220124,3,PM2.5,156
20220124,4,PM2.5,164
20220124,5,PM2.5,168
20220124,6,PM2.5,168
20220124,7,PM2.5,166
20220124,8,PM2.5,164
20220124,9,PM2.5,160
20220124,10,PM2.5,164
20220124,11,PM2.5,168
20220124,12,PM2.5,157
20220124,13,PM2.5,143
20220124,14,PM2.5,151
20220124,15,PM2.5,147
20220124,16,PM2.5,141
20220124,17,PM2.5,140
20220124,18,PM2.5,142
20220124,19,PM2.5,143
20220124,20,PM2.5,143
20220124,21,PM2.5,143
20220124,22,PM2.5,143
20220124,23,PM2.5,144
20220125,0,PM2.5,143
20220125,1,PM2.5,143
20220125,2,PM2.5,147
20220125,3,PM2.5,147
20220125,4,PM2.5,146
20220125,5,PM2.5,148
20220125,6,PM2.5,144
20220125,7,PM2.5,139
20220125,8,PM2.5,137
20220125,9,PM2.5,95
20220125,10,PM2.5,39
20220125,11,PM2.5,23
20220125,12,PM2.5,10
20220125,13,PM2.5,11
20220125,14,PM2.5,9
20220125,15,PM2.5,8
20220125,16,PM2.5,6
20220125,17,PM2.5,5
20220125,18,PM2.5,5
20220125,19,PM2.5,6
20220125,20,PM2.5,6
20220125,21,PM2.5,6
20220125,22,PM2.5,7
20220125,23,PM2.5,7
20220126,0,PM2.5,7
20220126,1,PM2.5,7
20220126,2,PM2.5,7
20220126,3,PM2.5,8
20220126,4,PM2.5,8
20220126,5,PM2.5,8
20220126,6,PM2.5,8
20220126,7,PM2.5,8
20220126,8,PM2.5,8
20220126,9,PM2.5,9
20220126,10,PM2.5,9
20220126,11,PM2.5,9
20220126,12,PM2.5,9
20220126,13,PM2.5,9
20220126,14,PM2.5,10
20220126,15,PM2.5,10
20220126,16,PM2.5,10
20220126,17,PM2.5,10
20220126,18,PM2.5,12
20220126,19,PM2.5,13
20220126,20,PM2.5,16
20220126,21,PM2.5,16
20220126,22,PM2.5,15
20220126,23,PM2.5,16
20220127,0,PM2.5,13
20220127,1,PM2.5,14
20220127,2,PM2.5,16
20220127,3,PM2.5,17
20220127,4,PM2.5,17
20220127,5,PM2.5,18
20220127,6,PM2.5,17
20220127,7,PM2.5,16
20220127,8,PM2.5,15
20220127,9,PM2.5,14
20220127,10,PM2.5,13
20220127,11,PM2.5,14
20220127,12,PM2.5,12
20220127,13,PM2.5,11
20220127,14,PM2.5,9
20220127,15,PM2.5,7
20220127,16,PM2.5,7
20220127,17,PM2.5,9
20220127,18,PM2.5,12
20220127,19,PM2.5,12
20220127,20,PM2.5,17
20220127,21,PM2.5,7
20220127,22,PM2.5,7
20220127,23,PM2.5,11
20220128,0,PM2.5,12
20220128,1,PM2.5,12
20220128,2,PM2.5,13
20220128,3,PM2.5,13
20220128,4,PM2.5,12
20220128,5,PM2.5,10
20220128,6,PM2.5,11
20220128,7,PM2.5,11
20220128,8,PM2.5,11
20220128,9,PM2.5,10
20220128,10,PM2.5,10
20220128,11,PM2.5,9
20220128,12,PM2.5,8
20220128,13,PM2.5,8
20220128,14,PM2.5,7
20220128,15,PM2.5,7
20220128,16,PM2.5,9
20220128,17,PM2.5,9
20220128,18,PM2.5,10
20220128,19,PM2.5,12
20220128,20,PM2.5,18
20220128,21,PM2.5,14
20220128,22,PM2.5,11
20220128,23,PM2.5,9
20220129,0,PM2.5,8
20220129,1,PM2.5,9
20220129,2,PM2.5,10
20220129,3,PM2.5,11
20220129,4,PM2.5,11
20220129,5,PM2.5,11
20220129,6,PM2.5,11
20220129,7,PM2.5,11
20220129,8,PM2.5,16
20220129,9,PM2.5,17
20220129,10,PM2.5,16
20220129,11,PM2.5,15
20220129,12,PM2.5,14
20220129,13,PM2.5,16
20220129,14,PM2.5,13
20220129,15,PM2.5,12
20220129,16,PM2.5,13
20220129,17,PM2.5,13
20220129,18,PM2.5,18
20220129,19,PM2.5,24
20220129,20,PM2.5,22
20220129,21,PM2.5,20
20220129,22,PM2.5,20
20220129,23,PM2.5,19
20220130,0,PM2.5,21
20220130,1,PM2.5,24
20220130,2,PM2.5,26
20220130,3,PM2.5,28
20220130,4,PM2.5,30
20220130,5,PM2.5,30
20220130,6,PM2.5,30
20220130,7,PM2.5,31
20220130,8,PM2.5,32
20220130,9,PM2.5,32
20220130,10,PM2.5,32
20220130,11,PM2.5,31
20220130,12,PM2.5,31
20220130,13,PM2.5,43
20220130,14,PM2.5,88
20220130,15,PM2.5,113
20220130,16,PM2.5,121
20220130,17,PM2.5,132
20220130,18,PM2.5,145
20220130,19,PM2.5,153
20220130,20,PM2.5,157
20220130,21,PM2.5,168
20220130,22,PM2.5,169
20220130,23,PM2.5,126
20220131,0,PM2.5,72
20220131,1,PM2.5,23
20220131,2,PM2.5,7
20220131,3,PM2.5,5
20220131,4,PM2.5,4
20220131,5,PM2.5,4
20220131,6,PM2.5,5
20220131,7,PM2.5,5
20220131,8,PM2.5,5
20220131,9,PM2.5,5
20220131,10,PM2.5,5
20220131,11,PM2.5,6
20220131,12,PM2.5,6
20220131,13,PM2.5,7
20220131,14,PM2.5,6
20220131,15,PM2.5,7
20220131,16,PM2.5,7
20220131,17,PM2.5,5
20220131,18,PM2.5,6
20220131,19,PM2.5,6
20220131,20,PM2.5,6
20220131,21,PM2.5,7
20220131,22,PM2.5,6
20220131,23,PM2.5,6
20220201,0,PM2.5,5
20220201,1,PM2.5,4
20220201,2,PM2.5,4
20220201,3,PM2.5,4
20220201,4,PM2.5,4
20220201,5,PM2.5,4
20220201,6,PM2.5,5
20220201,7,PM2.5,5
20220201,8,PM2.5,4
20220201,9,PM2.5,5
20220201,10,PM2.5,5
20220201,11,PM2.5,6
20220201,12,PM2.5,4
20220201,13,PM2.5,4
20220201,14,PM2.5,4
20220201,15,PM2.5,3
20220201,16,PM2.5,4
20220201,17,PM2.5,5
20220201,18,PM2.5,6
20220201,19,PM2.5,9
20220201,20,PM2.5,10
20220201,21,PM2.5,13
20220201,22,PM2.5,8
20220201,23,PM2.5,7
20220202,0,PM2.5,5
20220202,1,PM2.5,7
20220202,2,PM2.5,9
20220202,3,PM2.5,10
20220202,4,PM2.5,9
20220202,5,PM2.5,9
20220202,6,PM2.5,10
20220202,7,PM2.5,10
20220202,8,PM2.5,8
20220202,9,PM2.5,8
20220202,10,PM2.5,8
20220202,11,PM2.5,7
20220202,12,PM2.5,5
20220202,13,PM2.5,5
20220202,14,PM2.5,4
20220202,15,PM2.5,5
20220202,16,PM2.5,5
20220202,17,PM2.5,5
20220202,18,PM2.5,7
20220202,19,PM2.5,11
20220202,20,PM2.5,12
20220202,21,PM2.5,13
20220202,22,PM2.5,9
20220202,23,PM2.5,9
20220203,0,PM2.5,10
20220203,1,PM2.5,11
20220203,2,PM2.5,9
20220203,3,PM2.5,8
20220203,4,PM2.5,8
20220203,5,PM2.5,8
20220203,6,PM2.5,7
20220203,7,PM2.5,7
20220203,8,PM2.5,7
20220203,9,PM2.5,6
20220203,10,PM2.5,7
20220203,11,PM2.5,7
20220203,12,PM2.5,8
20220203,13,PM2.5,9
20220203,14,PM2.5,8
20220203,15,PM2.5,7
20220203,16,PM2.5,6
20220203,17,PM2.5,6
20220203,18,PM2.5,6
20220203,19,PM2.5,6
20220203,20,PM2.5,6
20220203,21,PM2.5,6
20220203,22,PM2.5,7
20220203,23,PM2.5,9
20220204,0,PM2.5,9
20220204,1,PM2.5,8
20220204,2,PM2.5,8
20220204,3,PM2.5,7
20220204,4,PM2.5,7
20220204,5,PM2.5,6
20220204,6,PM2.5,6
20220204,7,PM2.5,6
20220204,8,PM2.5,7
20220204,9,PM2.5,7
20220204,10,PM2.5,7
20220204,11,PM2.5,8
20220204,12,PM2.5,8
20220204,13,PM2.5,7
20220204,14,PM2.5,6
20220204,15,PM2.5,6
20220204,16,PM2.5,5
20220204,17,PM2.5,4
20220204,18,PM2.5,5
20220204,19,PM2.5,7
20220204,20,PM2.5,7
20220204,21,PM2.5,7
20220204,22,PM2.5,8
20220204,23,PM2.5,8
20220205,0,PM2.5,8
20220205,1,PM2.5,7
20220205,2,PM2.5,7
20220205,3,PM2.5,7
